name, ingredients,label_low, score_low
gelebration, "Aqua (Water), Linum Usitatissimum (Linseed/Flaxseed Extract), Glycerin, Simmondsia Chinensis (Jojoba) Seed Oil, Aloe Barbadensis (Aloe Vera) Leaf Juice Powder, Magnesium Sulfate, Benzoic Acid, Dehydroacetic Acid, Phenoxyethanol", 1, 80
rice_water_conditioner, "aqua water eau, glycerin, betaine, cetearyl alcohol, cetyl alcohol, linum usitatissimum linseed seed extract, brassicamidopropyl dimethylamine, polyglyceryl-3 betainate acetate, oryza sativa rice extract, biotin, ceramide np, phytosterols, inositol, copper tripeptide-1, serenoa serrulata fruit extract, cocos nucifera coconut oil, cetyl esters, c12-15 alkyl lactate, lactic acid, lauramidopropyl hydroxysultaine, caprylhydroxamic acid, sodium chloride, caprylyl glycol, potassium sorbate, sodium benzoate", 1, 75
Shea_product_3, "Water, Stearyl Alcohol, Cetyl Alcohol, Behentrimonium Chloride, Olea Europaea (Olive) Fruit Oil, Butyrospermum Parkii (Shea) Butter (Certified Organic Ingredient) (Fair Trade Ingredient), Argania Spinosa Kernel Oil, Macrocystis Pyrifera (Kelp) Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Daucus Carota Sativa (Carrot) Seed Oil, Hydrolyzed Silk, Hydrolyzed Soy Protein, Aloe Barbadensis Leaf Juice, Panthenol, Tocopheryl Acetate, Dicaprylyl Ether, Sodium Isostearoyl Lactylate, Sodium Benzoate, Hydroxyethylcellulose, Triethyl Citrate, Caprylyl Glycol, Benzoic Acid, Fragrance (Essential Oil Blend)", 1, 15
confixer, "Aqueous (Water\Aqua\Eau) Extracts\Extraits Aqueux: Linum Usitatissimum (Flaxseed) Seed Extract, Echinacea Purpurea (Coneflower) Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Mentha Piperita (Peppermint) Leaf Extract, Aloe Barbadensis Leaf Juice, PEG-40 Hydrogenated Castor Oil, Polyquaternium-11, Glycerin, Alcohol Denat, PEG-12 Dimethicone, Polyquaternium-10, Hydrolyzed Brazil Nut Protein, Wheat Amino Acids, Glycine Soja (Soybean) Oil, Tocopherol, Hydroxypropyltrimonium Hydrolyzed Corn Starch, Methyl Gluceth-10, Sodium Gluconate, Maltodextrin, Sodium Chloride, Citric Acid, Fragrance (Parfum), Farnesol, Eugenol, Linalool, Benzyl Salicylate, Citronellol, Citral, Limonene, Benzyl Benzoate, Geraniol, Cinnamyl Alcohol, Potassium Sorbate, Phenoxyethanol", 0, 20
shea_gel, "Water, Butyrospermum Parkii (Shea) Butter), Theobroma Cacao (Cocoa) Seed Butter, Cetearyl Alcohol, Stearyl Alcohol, Limnanthes Alba (Meadowfoam) Seed Oil, Hydrolyzed Adansonia Digitata Seed Extract, Behentrimonium Chloride, Glyceryl Caprylate, Macadamia Ternifolia Seed Oil, Hydrolyzed Soy Protein, Aloe Barbadensis Leaf Juice, Panthenol, Simmondsia Chinensis (Jojoba) Seed Oil, Hydrolyzed Rice Protein, Hydrogenated Vegetable Oil, Tocopheryl Acetate, Chondrus Crispus Extract, Cannabis Sativa (Hemp) Seed Oil, Ricinodendron Rautanenii (Mongongo) Seed Oil, Vinegar, Hydroxyethylcellulose, Fragrance (Essential Oil Blend), Glyceryl Undecylenate, Sodium Benzoate", 0, 15
moptop_light_gel_medium_hold, "WATER, ALOE BARBADENSIS LEAF EXTRACT,  METHACRYLIC ACID/SODIUM ACRYLAMIDOMETHYL PROPANE SULFONATE COPOLYMER,  SILK AMINO ACIDS, HYPNEA MUSCIFORMIS EXTRACT,  GELIDIELLA ACEROSA EXTRACT,  SARGASSUM FILIPENDULA EXTRACT,  ARNICA MONTANA FLOWER EXTRACT,  URTICA DIOICA (NETTLE) EXTRACT, ANTHEMIS NOBILIS (CHAMOMILE) FLOWER EXTRACT,  SPIRULINA MAXIMA EXTRACT, PANTHENOL, SORBITOL, GLYCERIN, HYDROXYPROPYLTRIMONIUM HONEY,  HYDROXYETHYLCELLULOSE,  POLYQUATERNIUM-4, POLYQUATERNIUM-10, CETRIMONIUM CHLORIDE, TETRASODIUM EDTA, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN, FRAGRANCE", 1, 80
andalou, "Aloe Barbadensis Leaf Juice*, Purified Water (Aqua), Cetyl Alcohol, Stearyl Alcohol, Hydrogenated Methyl Abietate, Vegetable Glycerin, Cetearyl Alcohol, Caprylic/Capric Triglycerides, Butyrospermum Parkii (Shea) Butter*†, Argania Spinosa (Argan) Kernel Oil*, Theobroma Cacao (Cocoa) Seed Butter*, Hydrolyzed Barley Protein, Panthenol, Persea Gratissima (Avocado) Oil*, Fruit Stem Cells (Malus Domestica, Solar Vitis) and BioActive Berry Complex*, Simmondsia Chinensis (Jojoba) Seed Oil*, Amino Acid Complex (Arginine, Threonine, Serine), Cyamopsis Tetragonoloba (Guar) Gum, Tocopherol, Camellia Sinensis (White Tea) Leaf Extract*†, Phenethyl Alcohol, Ethylhexylglycerin, Vanilla Isolates, Citrus Aurantium Dulcis (Orange) Peel Oil ***Certified Organic Ingredients †Fair Trade Ingredients", 0, 15
wave_maker, "Aqua/Water/Eau, Cetearyl Alcohol, Propylene Glycol, Isopropyl Palmitate, Triethyl Citrate, VP/VA Copolymer, Ceteareth-20, Hydrogenated Vegetable Oil, Phenoxyethanol, Aminomethyl Propanol, BHT, Caprylic Acid, Caprylyl Glycol, Ethylhexylglycerin, Lauryl Laurate, Linum Usitatissimum (Linseed) Seed Extract, Methylheptyl Isostearate, Peg-45m, Polyacrylate Crosspolymer-6, Polyimide-1, Polyquaternium-55, Salvia Hispanica Seed Extract, Silica, Sodium Polyacrylate Starch, T-Butyl Alcohol, Tocopherol, Xylitol, Parfum/Fragrance, Benzyl Alcohol, Citral, Citronellol, Hydroxycitronellal, Limonene, Linalool.", 0, 30
mop_top_custard, "WATER, GLYCERIN, CARBOXYMETHYLCELLULOSE, ALOE BARBADENSIS LEAF EXTRACT, PECTIN, HYDROXYPROPYLTRIMONIUM HONEY, SILK AMINO ACIDS, HYPNEA MUSCIFORMIS EXTRACT (SEAWEED), GELIDIELLA ACEROSA EXTRACT (SEAWEED), SARGASSUM FILIPENDULA  (SEAWEED) EXTRACT, SORBITOL, ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT, SALIX ALBA (WILLOW) BARK EXTRACT, URTICA DIOICA (NETTLE) EXTRACT, ETHYLHEXYLGLYCERIN, PHENOXYETHANOL, CITRUS SENENSIS OIL, CITRUS LIMON OIL, CITRUS AURANTIFOLIA OIL, CITRUS PARADISI OIL, FRAGRANCE (PHTHALATE FREE)", 1, 90
coconut_cowash, "aqua water eau, cetyl alcohol, cetrimonium chloride, cetearyl alcohol, cocos nucifera coconut oil, ricinus communis castor seed oil, cocos nucifera coconut fruit powder, citrus reticulata tangerine fruit extract, phytosterols, camillia sinensis leaf extract, peg-40 castor oil, stearlkonium chloride, serenoa serrulata fruit extract, quaternium-18, propylene glycol, c12-15 alkyl lactate, fragrance parfum, potassium sorbate, caprylyl glycol, phenoxyethanol, abies balsamea balsam canada resin, potassium chloride, limonene, glycerin, caprylic capric triglyceride", 0, 20
avocado_cream, "water, cetearyl alcohol, persea gratissima avocado oil, caprylic capric triglyceride, aloe barbadensis leaf juice, cetrimonium chloride, vp va copolymer, sorbitol, astrocaryum murumuru seed butter, argania spinosa kernel oil, butyrospermum parkii shea butter, rosa centifolia rose oil, crambe abyssinica seed oil, glycerin, hydroxyethylcellulose, nigella sativa virgin black cumin oil, trigonella foenum-graecum fenugreek seed extract, tocopheryl acetate vitamin e, adansonia digitata baobab seed oil, behentrimonium methosulfate, hydroxypropyl starch phosphate, phenoxyethanol, ethylhexylglycerin", 0, 20
camila_rose, "Deionized Water, Pectin, Cocos Nucifera (Coconut Oil), Aloe Barbadensis Leaf Juice, Panthenol, Castor (Ricinus Communis) Seed Oil, Althaea Officinalis (Marshmallow) Root Extract, Agave Americana Leaf Extract, Equisetum Arvense (Horsetail) Extract, Urtica Dioica (Nettle) Leaf Extract, Corn Starch, Xanthan Gum, Carrageenan (Chondrus Crispus), Polysorbate 20, Tocopheryl Acetate (Vitamin E), Cyanocobalamin, Phenoxyethanol, Caprylyl Glycol, Fragrance (Parfum)", 0, 20
combing_cream, "Water (Aqua), Cetearyl Alcohol, Ppg-3 Benzyl Ether Ethylhexanoate, Quaternium-91, Glycerin, Distearyldimonium Chloride, Polyquaternium-10, Pg-hydroxyethylcellulose Cocodimonium Chloride, Mangifera Indica (Mango) Seed Butter, Gardenia Tahitensis Flower Extract, Behentrimonium Chloride, Myristyl Myristate, Hydroxyethylcellulose, Fragrance (Parfum), Phenoxyethanol, Ethylhexylglycerin.", 0, 20
gvp_balm, "WATER ,PROPYLENE GLYCOL ,MYRISTYL ALCOHOL ,CETRIMONIUM CHLORIDE ,CETEARYL ALCOHOL ,PHENOXYETHANOL ,DECYL OLEATE ,METHYLPARABEN ,FRAGRANCE ,PROPYLPARABEN ,HYDRASTIS CANADENSIS (GOLDENSEAL) EXTRA ,FUCUS VESICULOSUS EXTRACT ,ROSMARINUS OFFICINALIS (ROSEMARY) LEAF E ,GLYCERIN", 1, 80
black_castor, "Water (Eau), Cetearyl Alcohol, Cocos Nucifera (Coconut) Oil, Glycerin (Vegetable/Végétale), Butyrospermum Parkii (Shea) Butter, Stearyl Alcohol, Cetyl Alcohol, Behentrimonium Methosulfate, Fragrance (Parfum), Behentrimonium Chloride, Panthenol, Hydrolyzed Wheat Protein, Hydrolyzed Wheat Starch, Cetrimonium Chloride, Persea Gratissima (Avocado) Oil, Mangifera Indica (Mango) Seed Butter, Olea Europaea (Olive) Fruit Oil, Ricinus Communis (Castor) Seed Oil, Mentha Piperita (Peppermint) Leaf Extract, Mauritia Flexuosa (Buriti) Fruit Oil, Yeast Extract, Hydrolyzed Keratin, Macadamia Ternifolia Seed Oil, Tocopherol, Niacin, Aloe Barbadensis Leaf Juice, Acetic Acid (Apple Cider), Hydrogenated Vegetable Oil, Glycine Soja (Soybean) Oil, Trifolium Pratense (Clover) Flower Extract, Caramel, Propanediol, Caprylhydroxamic Acid, Caprylyl Glycol, Benzoic Acid", 0, 20
mango_soultanicals, "Deionized Water (Aqua), Organic Aloe Juice, Behentrimonium Methosulfate, Cetearyl Olivate/Sorbitan Olivate, Mangifera Indica (Mango) Seed Butter, Vegetable Glycerin, Panthenol (Pro-Vitamin B5), Olive Squalane, Urtica Dioca (Nettle) Leaf Powder, Equisetum arvense (Horsetail) Extract, Tussilago Farfara (Coltsfoot) Extract, Symphytum Officinale (Comfrey) Root Powder, Ulmus Fulva (Slippery Elm) Bark Extract, Pthalate-Free Fragrance (parfum), Phenoxyethanol, & an extra dip of LOVE.", 0, 40
andalou_spray, "Aqua/Water/Eau, Alcohol Denat, VP/VA Copolymer, Aloe Barbadensis (Aloe) Leaf Juice*, Polysorbate 20, Biotin, 3-O-Ethyl Ascorbic Acid (Vitamin C), Apple Cider Vinegar, Malus Domestica (Apple) Fruit Cell Culture Extract, Vitis Vinifera (Grape) Fruit Cell Extract, Amaranthus Caudatus (Amaranth) Seed Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Euterpe Oleracea (Acai) Fruit Extract*, Aronia Arbutifolia (Red Chokeberry) Fruit Extract*, Lycium Barbarum (Goji) Fruit Extract*, Camellia Sinensis (Tea) Leaf Extract*, Helianthus Annuus (Sunflower) Seed Oil, Glycerin*, Diisostearyl Malate, T-Butyl Alcohol, Denatonium Benzoate, Panthenol (Pro-Vitamin B5), Xanthan Gum, Lecithin, Isomalt, Potassium Sorbate, Sodium Benzoate, Natural Fragrance, Citral, Linalool, Limonene *Certified Organic Ingredient", 0, 20
as_i_amcream, "Aqua/water/eau, Glycerin, Cocos nucifera (coconut) oil, Aloe barbadensis leaf juice, Hydrogenated vegetable oil, Cetearyl alcohol, Betaine, Butyrospermum parkii (shea) butter, Beta vulgaris (beet) root extract, Tocopheryl acetate, Pectin, Linum usitatissimum (linseed) seed extract, Cera alba/beeswax/cire d'abeilla, Polysorbate 60, Ceramide ng, Fragrance/parfum, Phenoxyethanol, Piroctone olamine, Polyquaternium-37, Polyquaternium-10, Ppg-1 trideceth-6, Citric acid, Quaternium-80, Polyacrylamide, Propanediol, Propylene glycol dicaprylate/dicaprate, Sodium lauroyl lactylate, Sodium cocoyl isethionate, Sodium lauroyl glutamate, Peg-3 distearate, Laureth-9, Peg-8, Ceteareth-25, Caprylyl glycol, Sodium benzoate, Potassium sorbate, Anise alcohol, Coumarin, Limonene", 0, 20
aussie_volumizing, "Water, Cetyl Alcohol, Stearamidopropyl Dimethylamine, Terminalia Ferdinandiana Fruit Extract, Bambusa Vulgaris Shoot Extract, Vitis Vinifera (Grape) Seed Extract, Fragrance, Stearyl Alcohol, Quaternium-18, Bis-Aminopropyl Dimethicone, Benzyl Alcohol, Cetearyl Alcohol, Hydroxyethylcellulose, Glyceryl Stearate, Polysorbate 60, Citric Acid, EDTA, Oleyl Alcohol, Methylchloroisothiazolinone, Methylisothiazolinone", 1, 80
heavy_cream, "Aqua/​Water/​Eau, Paraffinum Liquidum (Mineral Oil), Cetyl Alcohol, Polyquaternium-7, Glyceryl Stearate, Dimethicone, Petrolatum, Argania Spinosa (Argan) Kernel Oil, Tocopheryl Acetate, Panthenol, Parfum/​Fragrance, DMDM Hydantoin, Cetrimonium Chloride, Citric Acid, Citronellol, Limonene, Alpha-Isomethyl Ionone, Hexyl Cinnamal, Hydroxycitronellal, Isoeugenol, Linalool", 0, 20
miss_jessie_multi, "Water (Aqua, Eau), Cetearyl Alcohol, Polysorbate 60, Amodimethicone, Glycerin, Butylene Glycol, Hydroxyethyl Cellulose, Guar Hydroxypropyltrimonium Chloride, Disodium EDTA, Behentrimonium Chloride, Hydrogenated Soybean Oil, Olea Europaea (Olive) Fruit Oil, Carthamus Tinctorius (Safflower) Seed Oil, Octyl Methoxycinnamate, BHT, Yellow 10, Red 40, Caprylyl Glycol, Phenoxyethanol, Fragrance (Parfum), Citric Acid, Hydrolyzed Vegetable Protein Pg-Propyl Silanetriol, Glycerin, Alcohol Denat, Cucurbita Pepo (Pumpkin) Seed Extract, Glycine Soja (Soybean) Seed Extract, Spirulina Maxima Extract, Laminaria Digitata Extract, Glycereth-26", 0, 20
cantu_twist_lock, "Water (Aqua, Eau), PVP, Fragrance (Parfum), Butyrospermum Parkii (Shea) Butter, Polyquaternium-37, Cocos Nucifera (Coconut) Extract, Glycine Soja (Soybean) Oil, Cocos Nucifera (Coconut) Oil, Aloe Barbadensis (Aloe Vera) Leaf Juice, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Persea Gratissima (Avocado) Oil, Simmondsia Chinensis (Jojoba) Oil, Olea Europaea (Olive) Fruit Oil, Mangifera Indica (Mango) Seed Butter, Argania Spinosa (Argan) Kernel Oil, Vitis Vinifera (Grape) Seed Oil, Canola Oil, Melia Azadirachta (Neem) Seed Oil, Daucus Carota Sativa (Carrot) Seed Oil, Lonicera Japonica (Honeysuckle) Flower Extract, Laminaria Cloustoni (Sea Kelp) Extract, Salvia Officinalis (Sage) Leaf Extract, Macadamia Ternifolia (Macadamia) Seed Oil, Mangifera Indica (Mango) Seed Oil, Vitis Vinifera (Grape) Seed Extract, Urtica Dioica (Nettle) Extract, Silk Amino Acids, Hydrolyzed Silk, Phenoxyethanol, Ethylhexylglycerin, Coumarin, Benzyl Benzoate, Hexyl Cinnamal", 0, 10
cantu_cream, "Aqua (Water), Cetearyl Alcohol, Canola Oil, Glycerin, Ceteareth-20, Parfum (Fragrance), Ceteth-20, Butyrospermum Parkii (Shea) Butter, Glycol Stearate, Petrolatum, PEG-75, Polyquaternium-10, Phenoxyethanol, Ethylhexylglycerin, Cocos Nucifera (Coconut) Fruit Extract, Persea Gratissima (Avocado) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Olea Europaea (Olive) Fruit Oil, Mangifera Indica (Mango) Seed Butter, Argania Spinosa Kernel Oil, Melia Azadirachta (Neem) Seed Oil, Daucus Carota Sativa Seed Oil, Macadamia Ternifolia Seed Oil, Mangifera Indica (Mango) Seed Oil, Glycine Soja (Soyabean) Oil, Vitis Vinifera (Grape) Seed Oil, Hydrolyzed Silk, Lonicera Caprifolium Flower Extract, Macrocystis Pyrifera Extract, Salvia Officinalis (Sage) Leaf Extract, Vitis Vinifera (Red Grape) Seed Extract, Urtica Dioica (Nettle) Extract, Silk Amino Acids, Aloe Barbadensis (Aloe Vera) Leaf Juice, Benzyl Benzoate, Coumarin, Hexyl Cinnamal", 0, 20
shea_smoothie, "Cocos Nucifera (Coconut) Fruit Juice, Water, Glycerin (Vegetable), Cetearyl Alcohol, Butyrospermum Parkii (Shea) Butter, Cetrimonium Chloride, Polysorbate 60, Cocos Nucifera (Coconut) Oil, Oleth-10, Panthenol, PEG-150 Stearate, Steareth-20, Mangifera Indica (Mango) Seed Butter, Persea Gratissima (Avocado) Oil, Macadamia Ternifolia Seed Oil, Daucus Carota Sativa (Carrot) Seed Oil, Aloe Barbadensis Leaf Juice, Hydrolyzed Silk, Hibiscus Rosa-Sinensis Flower Extract, Tocopherol, Melia Azadirachta Seed Oil, Fragrance (Essential Oil Blend), Triethyl Citrate, Caprylyl Glycol, Benzoic Acid", 0, 20
suave_coconut, "Water (Aqua), Cetearyl Alcohol, Stearamidopropyl Dimethylamine, Lactic Acid, Potassium Chloride, Fragrance (Parfum), Disodium EDTA, PEG-150 Distearate, Methylchloroisothiazolinone, Methylisothiazolinone, Tocopheryl Acetate, Cocos Nucifera (Coconut) Fruit Extract, Benzyl Cinnamate, Coumarin, Linalool", 1, 90
deva_styling_cream, "Aqua/​Water/​Eau, Cetearyl Alcohol, Glycerin, Behentrimonium Chloride, PPG-3 Benzyl Ether Myristate, Tapioca Starch, Laureth-4, Aminomethyl Propanol, Ceteareth-20, Cetrimonium Chloride, Citric Acid, Disodium EDTA, Ethyl Macadamiate, Ethylhexylglycerin, Etidronic Acid, Hydroxypropyltrimonium Hydrolyzed Corn Starch, Isopropyl Alcohol, Malic Acid, Panthenol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tocopherol, Phenoxyethanol, Parfum/​Fragrance, Hexyl Cinnamal, Limonene, Linalool", 0, 20
rockin_ringlets, " Aqua (Water), Linum Usitatissimum (Linseed/ Flaxseed Extract), Glycerin, Simmondsia Chinensis (Jojoba) Seed Oil, Aloe Barbadensis (Aloe Vera) Leaf Juice Powder, Magnesium Sulfate, Benzoic Acid, Dehydroacetic Acid, Phenoxyethanol", 1, 75
custard, "Botanical Infusion Of Water/​Aqua, Equisetum Arvense/​Horsetail, Chamomile, Urtica Dioica/​Nettle, Althea Officinalis, Marshmallow, Organic Aloe Vera Juice, Agave Tequilana, Agave Nectar Extract, Tocopheryl Acetate /​ Vitamin E, Pectin, Citric Acid, Potassium Sorbate, Fragrance", 1, 90
garnier_sleek_and_shine, "Cyclopentasiloxane, Dimethiconol, Parfum/​Fragrance, Argania Spinosa Kernel Oil, Prunus Armeniaca Kernel Oil/​Apricot Kernel Oil, Hexyl Cinnamal, Benzyl Alcohol, Linalool, Amyl Cinnamal", 0, 20
moptop_daily, "WATER,  ALOE BARBADENSIS  LEAF EXTRACT, GLYCERIN,  CETYL ALCOHOL, STEARYL ALCOHOL,  CETRIMONIUM CHLORIDE, BEHENTRIMONIUM  CHLORIDE, OLEA EUROPAEA (OLIVE) FRUIT  OIL, GLYCERETH-26, BUTYROSPERMUM PARKII (SHEA)  BUTTER, HYDROXYPROPYLTRIMONIUM HONEY, HYPNEA MUSCIFORMIS  EXTRACT (SEAWEED), GELIDIELLA ACEROSA EXTRACT (SEAWEED), SARGASSUM  FILIPENDULA EXTRACT (SEAWEED), SORBITOL, SILK AMINO ACIDS, ROSMARINUS  OFFICINALIS (ROSEMARY) LEAF EXTRACT, CHAMOMILLA RECUTITA (MATRICARIA) FLOWER  EXTRACT, URTICA DIOICA (NETTLE) EXTRACT, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,  TOCOPHERYL ACETATE (VITAMIN E), PANTHENOL (VITAMIN B5), ARNICA MONTANA FLOWER EXTRACT,  HYDROXYETHYLCELLULOSE, PHENOXYETHANOL, SORBIC ACID, ETHYLHEXYLGLYCERIN, CITRIC ACID, SODIUM PHYTATE, FRAGRANCE.", 1, 80
shea_weightless_coconut_water_conditioner, "Water, Cocos Nucifera (Coconut) Fruit Juice, Aloe Barbadensis Leaf Juice, Butyrospermum Parkii (Shea) Butter*, Stearyl Alcohol, Cetyl Alcohol, Behentrimonium Chloride, Glyceryl Caprylate, Panthenol, Fragrance (Essential Oil Blend), Litchi Chinensis (Lychee) Fruit Extract, Hylocereus Undatus (Dragon) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Garcinia Livingstonei (African Mangosteen) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Hydrolyzed Rice Protein, Glycerin, Psidium Guajava Fruit Extract, Citrus Grandis (Grapefruit) Fruit Extract, Hydroxyethylcellulose, Capric/​Caprylic Triglycerides, Tocopherol, Sodium Benzoate, Myrciaria Dubia Fruit Extract, Cetrimonium Chloride, Glyceryl Undecylenate", 0, 20
jai_twisting_butter, "Deionized Water, Behentrimonium Methosulfate, (BTMS), Cetearyl Alcohol, Prunus Amygdalus Dulcis Fruit Extract, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Cucurbita Pepo (Pumpkin) Seed Oil, Sesamum Indicum (Sesame) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Oryza Sativa (Rice) Bran Oil, Macadamia Ternifolia Seed Oil, Olea Europaea (Olive) Fruit Oil, Cannabis Sativa Seed Oil, Ulmus Fulva Bark (Slippery Elm) Extract, Ricinus Communis (Castor) Seed Oil, Aloe Barbadensis Leaf Juice, Cera Alba, Camellia Sinensis Leaf Extract, Phenoxyethanol (Optiphen ND), Caprylyl Glycol, Phthalate-Free Fragrance", 0, 20
carols_daughter_milk_leave_in, "Water (Aqua), Glycine Soja (Soybean) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Parkii (Shea Butter), Cetearyl Alcohol, Glycerin, Fragrance (Parfum), Polysorbate 60, Agave Tequilana Stem Extract, Ascorbyl Palmitate, Ascorbic Acid, Beeswax, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Polysorbate 80, Prunus Armeniaca (Apricot) Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Tocopherol, Triticum Vulgare (Wheat) Germ Oil, Xanthan Gum, Methylisothiazolinone, Phenoxyethanol", 0, 20
deva_spray, "Aqua/​Water/​Eau, Glycerin, Isopropyl Myristate, Cetearyl Alcohol, Acrylates/​C12-22 Alkyl Methacrylate Copolymer, Ceteareth-20, Cetearyl Olivate, Ethylhexylglycerin, Olea Europaea (Olive) Fruit Oil, Pentylene Glycol, Propylene Glycol Dibenzoate, PVP, Sorbitan Olivate, Tocopherol, Phenoxyethanol, Parfum/​Fragrance, Citral, Citronellol, Hydroxycitronellal, Limonene, Linalool", 0, 20
tootilab_gel, "water aqua, hydrolyzed corn starch, glycerin, guar hydroxypropyltrimonium chloride, hydroxyethylcellulose, citric acid, phenoxyethanol, benzyl alcohol, fragrance parfum, fructose, hydroxyacetophenone, sodium hydroxide, trisodium ethylenediamine disuccinate, polyglyceryl-4 caprate, ethylhexylglycerin, pentylene glycol, salicylic acid, sodium citrate, sodium hyaluronate, polyporus umbellatus mushroom extract, pogostemon cablin oil, tetramethyl acetyloctahydronaphthalenes, hexyl cinnamal, limonene, linalyl acetate, juniperus virginiana oil, citrus aurantium peel oil, alpha-isomethyl ionone, linalool", 1, 90
love_beauty_planet_conditioner, "Water (Aqua), Cetearyl Alcohol*, Behentrimonium Chloride*, Cocos Nucifera (Coconut) Oil*, Fusanus Spicatus Wood Oil*, Butyrospermum Parkii (Shea) Butter*, Fragrance (Parfum), Dipropylene Glycol, Acrylates/​Beheneth-25 Methacrylate Copolymer, Disodium EDTA, Methylchloroisothiazolinone, Methylisothiazolinone, Coumarin", 0, 20
